diagnostic,family,fixed_covered,fixed_fraction,fixed_or_copy_covered,fixed_or_copy_fraction,input_profile,population,present,slot_or_operation,split,vocabulary_profile
populated_slot,overall,1077649,1.0,1077649,1.0,passive,parent_pool,1077649,add_subject,overall,existing_train_val_minocc100
populated_slot,overall,1077452,0.9998171946524332,1077511,0.9998719434621106,passive,parent_pool,1077649,add_predicate,overall,existing_train_val_minocc100
populated_slot,overall,885591,0.8217805612031376,894213,0.8297813109834463,passive,parent_pool,1077649,add_object,overall,existing_train_val_minocc100
populated_slot,overall,959043,1.0,959043,1.0,passive,parent_pool,959043,del_subject,overall,existing_train_val_minocc100
populated_slot,overall,959043,1.0,959043,1.0,passive,parent_pool,959043,del_predicate,overall,existing_train_val_minocc100
populated_slot,overall,948892,0.9894154902334932,950251,0.99083252784286,passive,parent_pool,959043,del_object,overall,existing_train_val_minocc100
present_operation,overall,885422,0.8216237383415194,894075,0.8296532544455569,passive,parent_pool,1077649,addition,overall,existing_train_val_minocc100
present_operation,overall,948892,0.9894154902334932,950251,0.99083252784286,passive,parent_pool,959043,deletion,overall,existing_train_val_minocc100
populated_slot,overall,161680,1.0,161680,1.0,passive,parent_pool,161680,add_subject,test,existing_train_val_minocc100
populated_slot,overall,161619,0.9996227115289461,161634,0.999715487382484,passive,parent_pool,161680,add_predicate,test,existing_train_val_minocc100
populated_slot,overall,132706,0.820794161306284,134032,0.8289955467590302,passive,parent_pool,161680,add_object,test,existing_train_val_minocc100
populated_slot,overall,143746,1.0,143746,1.0,passive,parent_pool,143746,del_subject,test,existing_train_val_minocc100
populated_slot,overall,143746,1.0,143746,1.0,passive,parent_pool,143746,del_predicate,test,existing_train_val_minocc100
populated_slot,overall,142271,0.9897388449069887,142469,0.9911162745398133,passive,parent_pool,143746,del_object,test,existing_train_val_minocc100
present_operation,overall,132655,0.8204787234042553,133986,0.8287110341415141,passive,parent_pool,161680,addition,test,existing_train_val_minocc100
present_operation,overall,142271,0.9897388449069887,142469,0.9911162745398133,passive,parent_pool,143746,deletion,test,existing_train_val_minocc100
populated_slot,overall,754307,1.0,754307,1.0,passive,parent_pool,754307,add_subject,train,existing_train_val_minocc100
populated_slot,overall,754190,0.9998448907407727,754227,0.9998939423868531,passive,parent_pool,754307,add_predicate,train,existing_train_val_minocc100
populated_slot,overall,619845,0.8217410152630162,625869,0.829727153532978,passive,parent_pool,754307,add_object,train,existing_train_val_minocc100
populated_slot,overall,671460,1.0,671460,1.0,passive,parent_pool,671460,del_subject,train,existing_train_val_minocc100
populated_slot,overall,671460,1.0,671460,1.0,passive,parent_pool,671460,del_predicate,train,existing_train_val_minocc100
populated_slot,overall,664301,0.9893381586393828,665245,0.9907440502784977,passive,parent_pool,671460,del_object,train,existing_train_val_minocc100
present_operation,overall,619741,0.8216031403659253,625789,0.829621095919831,passive,parent_pool,754307,addition,train,existing_train_val_minocc100
present_operation,overall,664301,0.9893381586393828,665245,0.9907440502784977,passive,parent_pool,671460,deletion,train,existing_train_val_minocc100
populated_slot,overall,161662,1.0,161662,1.0,passive,parent_pool,161662,add_subject,val,existing_train_val_minocc100
populated_slot,overall,161643,0.9998824708342097,161650,0.999925771053185,passive,parent_pool,161662,add_predicate,val,existing_train_val_minocc100
populated_slot,overall,133040,0.8229515903551855,134312,0.8308198587175712,passive,parent_pool,161662,add_object,val,existing_train_val_minocc100
populated_slot,overall,143837,1.0,143837,1.0,passive,parent_pool,143837,del_subject,val,existing_train_val_minocc100
populated_slot,overall,143837,1.0,143837,1.0,passive,parent_pool,143837,del_predicate,val,existing_train_val_minocc100
populated_slot,overall,142320,0.9894533395440672,142537,0.990961991698937,passive,parent_pool,143837,del_object,val,existing_train_val_minocc100
present_operation,overall,133026,0.8228649899172348,134300,0.8307456297707563,passive,parent_pool,161662,addition,val,existing_train_val_minocc100
present_operation,overall,142320,0.9894533395440672,142537,0.990961991698937,passive,parent_pool,143837,deletion,val,existing_train_val_minocc100
populated_slot,conflictWith,35690,1.0,35690,1.0,passive,parent_pool,35690,add_subject,overall,existing_train_val_minocc100
populated_slot,conflictWith,35660,0.9991594284113197,35667,0.9993555617820118,passive,parent_pool,35690,add_predicate,overall,existing_train_val_minocc100
populated_slot,conflictWith,30887,0.8654244886522836,31316,0.8774446623704119,passive,parent_pool,35690,add_object,overall,existing_train_val_minocc100
populated_slot,conflictWith,201225,1.0,201225,1.0,passive,parent_pool,201225,del_subject,overall,existing_train_val_minocc100
populated_slot,conflictWith,201225,1.0,201225,1.0,passive,parent_pool,201225,del_predicate,overall,existing_train_val_minocc100
populated_slot,conflictWith,194022,0.964204248975028,194038,0.9642837619580072,passive,parent_pool,201225,del_object,overall,existing_train_val_minocc100
present_operation,conflictWith,30857,0.8645839170636033,31293,0.8768002241524236,passive,parent_pool,35690,addition,overall,existing_train_val_minocc100
present_operation,conflictWith,194022,0.964204248975028,194038,0.9642837619580072,passive,parent_pool,201225,deletion,overall,existing_train_val_minocc100
populated_slot,distinct,26216,1.0,26216,1.0,passive,parent_pool,26216,add_subject,overall,existing_train_val_minocc100
populated_slot,distinct,26215,0.9999618553555081,26215,0.9999618553555081,passive,parent_pool,26216,add_predicate,overall,existing_train_val_minocc100
populated_slot,distinct,13007,0.49614739090631677,13028,0.4969484284406469,passive,parent_pool,26216,add_object,overall,existing_train_val_minocc100
populated_slot,distinct,456409,1.0,456409,1.0,passive,parent_pool,456409,del_subject,overall,existing_train_val_minocc100
populated_slot,distinct,456409,1.0,456409,1.0,passive,parent_pool,456409,del_predicate,overall,existing_train_val_minocc100
populated_slot,distinct,456409,1.0,456409,1.0,passive,parent_pool,456409,del_object,overall,existing_train_val_minocc100
present_operation,distinct,13006,0.49610924626182484,13027,0.49691028379615504,passive,parent_pool,26216,addition,overall,existing_train_val_minocc100
present_operation,distinct,456409,1.0,456409,1.0,passive,parent_pool,456409,deletion,overall,existing_train_val_minocc100
populated_slot,inverse,129126,1.0,129126,1.0,passive,parent_pool,129126,add_subject,overall,existing_train_val_minocc100
populated_slot,inverse,129114,0.99990706751545,129120,0.999953533757725,passive,parent_pool,129126,add_predicate,overall,existing_train_val_minocc100
populated_slot,inverse,126117,0.976697179499094,126399,0.9788810928860183,passive,parent_pool,129126,add_object,overall,existing_train_val_minocc100
populated_slot,inverse,15516,1.0,15516,1.0,passive,parent_pool,15516,del_subject,overall,existing_train_val_minocc100
populated_slot,inverse,15516,1.0,15516,1.0,passive,parent_pool,15516,del_predicate,overall,existing_train_val_minocc100
populated_slot,inverse,15516,1.0,15516,1.0,passive,parent_pool,15516,del_object,overall,existing_train_val_minocc100
present_operation,inverse,126105,0.976604247014544,126393,0.9788346266437433,passive,parent_pool,129126,addition,overall,existing_train_val_minocc100
present_operation,inverse,15516,1.0,15516,1.0,passive,parent_pool,15516,deletion,overall,existing_train_val_minocc100
populated_slot,itemRequiresStatement,196612,1.0,196612,1.0,passive,parent_pool,196612,add_subject,overall,existing_train_val_minocc100
populated_slot,itemRequiresStatement,196574,0.9998067259373792,196606,0.9999694830427441,passive,parent_pool,196612,add_predicate,overall,existing_train_val_minocc100
populated_slot,itemRequiresStatement,105886,0.5385530893333063,110048,0.559721685349826,passive,parent_pool,196612,add_object,overall,existing_train_val_minocc100
populated_slot,itemRequiresStatement,4488,1.0,4488,1.0,passive,parent_pool,4488,del_subject,overall,existing_train_val_minocc100
populated_slot,itemRequiresStatement,4488,1.0,4488,1.0,passive,parent_pool,4488,del_predicate,overall,existing_train_val_minocc100
populated_slot,itemRequiresStatement,4488,1.0,4488,1.0,passive,parent_pool,4488,del_object,overall,existing_train_val_minocc100
present_operation,itemRequiresStatement,105875,0.5384971415783371,110042,0.5596911683925702,passive,parent_pool,196612,addition,overall,existing_train_val_minocc100
present_operation,itemRequiresStatement,4488,1.0,4488,1.0,passive,parent_pool,4488,deletion,overall,existing_train_val_minocc100
populated_slot,oneOf,10123,1.0,10123,1.0,passive,parent_pool,10123,add_subject,overall,existing_train_val_minocc100
populated_slot,oneOf,10119,0.9996048602193026,10120,0.999703645164477,passive,parent_pool,10123,add_predicate,overall,existing_train_val_minocc100
populated_slot,oneOf,9941,0.9820211399782673,10022,0.9900227205373902,passive,parent_pool,10123,add_object,overall,existing_train_val_minocc100
populated_slot,oneOf,13709,1.0,13709,1.0,passive,parent_pool,13709,del_subject,overall,existing_train_val_minocc100
populated_slot,oneOf,13709,1.0,13709,1.0,passive,parent_pool,13709,del_predicate,overall,existing_train_val_minocc100
populated_slot,oneOf,13709,1.0,13709,1.0,passive,parent_pool,13709,del_object,overall,existing_train_val_minocc100
present_operation,oneOf,9937,0.9816260001975698,10019,0.989726365701867,passive,parent_pool,10123,addition,overall,existing_train_val_minocc100
present_operation,oneOf,13709,1.0,13709,1.0,passive,parent_pool,13709,deletion,overall,existing_train_val_minocc100
populated_slot,single,35140,1.0,35140,1.0,passive,parent_pool,35140,add_subject,overall,existing_train_val_minocc100
populated_slot,single,35059,0.9976949345475242,35068,0.9979510529311326,passive,parent_pool,35140,add_predicate,overall,existing_train_val_minocc100
populated_slot,single,6839,0.1946215139442231,7299,0.20771200910643142,passive,parent_pool,35140,add_object,overall,existing_train_val_minocc100
populated_slot,single,239446,1.0,239446,1.0,passive,parent_pool,239446,del_subject,overall,existing_train_val_minocc100
populated_slot,single,239446,1.0,239446,1.0,passive,parent_pool,239446,del_predicate,overall,existing_train_val_minocc100
populated_slot,single,236498,0.9876882470369102,237841,0.993297027304695,passive,parent_pool,239446,del_object,overall,existing_train_val_minocc100
present_operation,single,6758,0.19231644849174728,7227,0.20566306203756404,passive,parent_pool,35140,addition,overall,existing_train_val_minocc100
present_operation,single,236498,0.9876882470369102,237841,0.993297027304695,passive,parent_pool,239446,deletion,overall,existing_train_val_minocc100
populated_slot,symmetric,58022,1.0,58022,1.0,passive,parent_pool,58022,add_subject,overall,existing_train_val_minocc100
populated_slot,symmetric,58018,0.999931060632174,58019,0.9999482954741306,passive,parent_pool,58022,add_predicate,overall,existing_train_val_minocc100
populated_slot,symmetric,57113,0.9843335286615422,57216,0.9861087173830616,passive,parent_pool,58022,add_object,overall,existing_train_val_minocc100
populated_slot,symmetric,2739,1.0,2739,1.0,passive,parent_pool,2739,del_subject,overall,existing_train_val_minocc100
populated_slot,symmetric,2739,1.0,2739,1.0,passive,parent_pool,2739,del_predicate,overall,existing_train_val_minocc100
populated_slot,symmetric,2739,1.0,2739,1.0,passive,parent_pool,2739,del_object,overall,existing_train_val_minocc100
present_operation,symmetric,57109,0.9842645892937162,57213,0.986057012857192,passive,parent_pool,58022,addition,overall,existing_train_val_minocc100
present_operation,symmetric,2739,1.0,2739,1.0,passive,parent_pool,2739,deletion,overall,existing_train_val_minocc100
populated_slot,type,192985,1.0,192985,1.0,passive,parent_pool,192985,add_subject,overall,existing_train_val_minocc100
populated_slot,type,192969,0.9999170920019691,192971,0.9999274555017229,passive,parent_pool,192985,add_predicate,overall,existing_train_val_minocc100
populated_slot,type,183603,0.9513848226546104,184340,0.9552037723139104,passive,parent_pool,192985,add_object,overall,existing_train_val_minocc100
populated_slot,type,11263,1.0,11263,1.0,passive,parent_pool,11263,del_subject,overall,existing_train_val_minocc100
populated_slot,type,11263,1.0,11263,1.0,passive,parent_pool,11263,del_predicate,overall,existing_train_val_minocc100
populated_slot,type,11263,1.0,11263,1.0,passive,parent_pool,11263,del_object,overall,existing_train_val_minocc100
present_operation,type,183587,0.9513019146565795,184326,0.9551312278156333,passive,parent_pool,192985,addition,overall,existing_train_val_minocc100
present_operation,type,11263,1.0,11263,1.0,passive,parent_pool,11263,deletion,overall,existing_train_val_minocc100
populated_slot,valueRequiresStatement,195543,1.0,195543,1.0,passive,parent_pool,195543,add_subject,overall,existing_train_val_minocc100
populated_slot,valueRequiresStatement,195540,0.9999846581058898,195540,0.9999846581058898,passive,parent_pool,195543,add_predicate,overall,existing_train_val_minocc100
populated_slot,valueRequiresStatement,161959,0.82825260940049,163511,0.836189482620191,passive,parent_pool,195543,add_object,overall,existing_train_val_minocc100
populated_slot,valueRequiresStatement,8998,1.0,8998,1.0,passive,parent_pool,8998,del_subject,overall,existing_train_val_minocc100
populated_slot,valueRequiresStatement,8998,1.0,8998,1.0,passive,parent_pool,8998,del_predicate,overall,existing_train_val_minocc100
populated_slot,valueRequiresStatement,8998,1.0,8998,1.0,passive,parent_pool,8998,del_object,overall,existing_train_val_minocc100
present_operation,valueRequiresStatement,161956,0.8282372675063797,163508,0.8361741407260808,passive,parent_pool,195543,addition,overall,existing_train_val_minocc100
present_operation,valueRequiresStatement,8998,1.0,8998,1.0,passive,parent_pool,8998,deletion,overall,existing_train_val_minocc100
populated_slot,valueType,198192,1.0,198192,1.0,passive,parent_pool,198192,add_subject,overall,existing_train_val_minocc100
populated_slot,valueType,198184,0.9999596351013159,198185,0.9999646807136514,passive,parent_pool,198192,add_predicate,overall,existing_train_val_minocc100
populated_slot,valueType,190239,0.9598722450956648,191034,0.9638835069023977,passive,parent_pool,198192,add_object,overall,existing_train_val_minocc100
populated_slot,valueType,5250,1.0,5250,1.0,passive,parent_pool,5250,del_subject,overall,existing_train_val_minocc100
populated_slot,valueType,5250,1.0,5250,1.0,passive,parent_pool,5250,del_predicate,overall,existing_train_val_minocc100
populated_slot,valueType,5250,1.0,5250,1.0,passive,parent_pool,5250,del_object,overall,existing_train_val_minocc100
present_operation,valueType,190232,0.9598369258093162,191027,0.9638481876160491,passive,parent_pool,198192,addition,overall,existing_train_val_minocc100
present_operation,valueType,5250,1.0,5250,1.0,passive,parent_pool,5250,deletion,overall,existing_train_val_minocc100
populated_slot,conflictWith,5361,1.0,5361,1.0,passive,parent_pool,5361,add_subject,test,existing_train_val_minocc100
populated_slot,conflictWith,5353,0.9985077410930796,5354,0.9986942734564447,passive,parent_pool,5361,add_predicate,test,existing_train_val_minocc100
populated_slot,conflictWith,4637,0.8649505689237083,4708,0.8781943667226264,passive,parent_pool,5361,add_object,test,existing_train_val_minocc100
populated_slot,conflictWith,30184,1.0,30184,1.0,passive,parent_pool,30184,del_subject,test,existing_train_val_minocc100
populated_slot,conflictWith,30184,1.0,30184,1.0,passive,parent_pool,30184,del_predicate,test,existing_train_val_minocc100
populated_slot,conflictWith,29155,0.9659090909090909,29157,0.9659753511794328,passive,parent_pool,30184,del_object,test,existing_train_val_minocc100
present_operation,conflictWith,4629,0.863458310016788,4701,0.8768886401790711,passive,parent_pool,5361,addition,test,existing_train_val_minocc100
present_operation,conflictWith,29155,0.9659090909090909,29157,0.9659753511794328,passive,parent_pool,30184,deletion,test,existing_train_val_minocc100
populated_slot,distinct,3985,1.0,3985,1.0,passive,parent_pool,3985,add_subject,test,existing_train_val_minocc100
populated_slot,distinct,3985,1.0,3985,1.0,passive,parent_pool,3985,add_predicate,test,existing_train_val_minocc100
populated_slot,distinct,1989,0.4991217063989962,1991,0.4996235884567127,passive,parent_pool,3985,add_object,test,existing_train_val_minocc100
populated_slot,distinct,68462,1.0,68462,1.0,passive,parent_pool,68462,del_subject,test,existing_train_val_minocc100
populated_slot,distinct,68462,1.0,68462,1.0,passive,parent_pool,68462,del_predicate,test,existing_train_val_minocc100
populated_slot,distinct,68462,1.0,68462,1.0,passive,parent_pool,68462,del_object,test,existing_train_val_minocc100
present_operation,distinct,1989,0.4991217063989962,1991,0.4996235884567127,passive,parent_pool,3985,addition,test,existing_train_val_minocc100
present_operation,distinct,68462,1.0,68462,1.0,passive,parent_pool,68462,deletion,test,existing_train_val_minocc100
populated_slot,inverse,19395,1.0,19395,1.0,passive,parent_pool,19395,add_subject,test,existing_train_val_minocc100
populated_slot,inverse,19392,0.99984532095901,19392,0.99984532095901,passive,parent_pool,19395,add_predicate,test,existing_train_val_minocc100
populated_slot,inverse,18988,0.9790152101056974,19027,0.9810260376385667,passive,parent_pool,19395,add_object,test,existing_train_val_minocc100
populated_slot,inverse,2292,1.0,2292,1.0,passive,parent_pool,2292,del_subject,test,existing_train_val_minocc100
populated_slot,inverse,2292,1.0,2292,1.0,passive,parent_pool,2292,del_predicate,test,existing_train_val_minocc100
populated_slot,inverse,2292,1.0,2292,1.0,passive,parent_pool,2292,del_object,test,existing_train_val_minocc100
present_operation,inverse,18985,0.9788605310647074,19024,0.9808713585975767,passive,parent_pool,19395,addition,test,existing_train_val_minocc100
present_operation,inverse,2292,1.0,2292,1.0,passive,parent_pool,2292,deletion,test,existing_train_val_minocc100
populated_slot,itemRequiresStatement,29493,1.0,29493,1.0,passive,parent_pool,29493,add_subject,test,existing_train_val_minocc100
populated_slot,itemRequiresStatement,29481,0.9995931237920862,29492,0.9999660936493405,passive,parent_pool,29493,add_predicate,test,existing_train_val_minocc100
populated_slot,itemRequiresStatement,15718,0.5329400196656834,16351,0.5544027396331332,passive,parent_pool,29493,add_object,test,existing_train_val_minocc100
populated_slot,itemRequiresStatement,657,1.0,657,1.0,passive,parent_pool,657,del_subject,test,existing_train_val_minocc100
populated_slot,itemRequiresStatement,657,1.0,657,1.0,passive,parent_pool,657,del_predicate,test,existing_train_val_minocc100
populated_slot,itemRequiresStatement,657,1.0,657,1.0,passive,parent_pool,657,del_object,test,existing_train_val_minocc100
present_operation,itemRequiresStatement,15716,0.5328722069643644,16350,0.5543688332824738,passive,parent_pool,29493,addition,test,existing_train_val_minocc100
present_operation,itemRequiresStatement,657,1.0,657,1.0,passive,parent_pool,657,deletion,test,existing_train_val_minocc100
populated_slot,oneOf,1531,1.0,1531,1.0,passive,parent_pool,1531,add_subject,test,existing_train_val_minocc100
populated_slot,oneOf,1529,0.9986936642717178,1529,0.9986936642717178,passive,parent_pool,1531,add_predicate,test,existing_train_val_minocc100
populated_slot,oneOf,1485,0.9699542782495101,1510,0.9862834748530372,passive,parent_pool,1531,add_object,test,existing_train_val_minocc100
populated_slot,oneOf,2056,1.0,2056,1.0,passive,parent_pool,2056,del_subject,test,existing_train_val_minocc100
populated_slot,oneOf,2056,1.0,2056,1.0,passive,parent_pool,2056,del_predicate,test,existing_train_val_minocc100
populated_slot,oneOf,2056,1.0,2056,1.0,passive,parent_pool,2056,del_object,test,existing_train_val_minocc100
present_operation,oneOf,1483,0.968647942521228,1508,0.984977139124755,passive,parent_pool,1531,addition,test,existing_train_val_minocc100
present_operation,oneOf,2056,1.0,2056,1.0,passive,parent_pool,2056,deletion,test,existing_train_val_minocc100
populated_slot,single,5251,1.0,5251,1.0,passive,parent_pool,5251,add_subject,test,existing_train_val_minocc100
populated_slot,single,5230,0.9960007617596648,5231,0.9961912016758713,passive,parent_pool,5251,add_predicate,test,existing_train_val_minocc100
populated_slot,single,972,0.18510759855265663,1033,0.1967244334412493,passive,parent_pool,5251,add_object,test,existing_train_val_minocc100
populated_slot,single,35917,1.0,35917,1.0,passive,parent_pool,35917,del_subject,test,existing_train_val_minocc100
populated_slot,single,35917,1.0,35917,1.0,passive,parent_pool,35917,del_predicate,test,existing_train_val_minocc100
populated_slot,single,35471,0.9875824818331153,35667,0.9930395077539884,passive,parent_pool,35917,del_object,test,existing_train_val_minocc100
present_operation,single,951,0.18110836031232147,1013,0.19291563511712054,passive,parent_pool,5251,addition,test,existing_train_val_minocc100
present_operation,single,35471,0.9875824818331153,35667,0.9930395077539884,passive,parent_pool,35917,deletion,test,existing_train_val_minocc100
populated_slot,symmetric,8634,1.0,8634,1.0,passive,parent_pool,8634,add_subject,test,existing_train_val_minocc100
populated_slot,symmetric,8630,0.999536715311559,8631,0.9996525364836693,passive,parent_pool,8634,add_predicate,test,existing_train_val_minocc100
populated_slot,symmetric,8514,0.9861014593467686,8526,0.9874913134120917,passive,parent_pool,8634,add_object,test,existing_train_val_minocc100
populated_slot,symmetric,403,1.0,403,1.0,passive,parent_pool,403,del_subject,test,existing_train_val_minocc100
populated_slot,symmetric,403,1.0,403,1.0,passive,parent_pool,403,del_predicate,test,existing_train_val_minocc100
populated_slot,symmetric,403,1.0,403,1.0,passive,parent_pool,403,del_object,test,existing_train_val_minocc100
present_operation,symmetric,8510,0.9856381746583276,8523,0.987143849895761,passive,parent_pool,8634,addition,test,existing_train_val_minocc100
present_operation,symmetric,403,1.0,403,1.0,passive,parent_pool,403,deletion,test,existing_train_val_minocc100
populated_slot,type,28967,1.0,28967,1.0,passive,parent_pool,28967,add_subject,test,existing_train_val_minocc100
populated_slot,type,28962,0.9998273897883799,28962,0.9998273897883799,passive,parent_pool,28967,add_predicate,test,existing_train_val_minocc100
populated_slot,type,27535,0.9505644353919978,27664,0.9550177788517968,passive,parent_pool,28967,add_object,test,existing_train_val_minocc100
populated_slot,type,1695,1.0,1695,1.0,passive,parent_pool,1695,del_subject,test,existing_train_val_minocc100
populated_slot,type,1695,1.0,1695,1.0,passive,parent_pool,1695,del_predicate,test,existing_train_val_minocc100
populated_slot,type,1695,1.0,1695,1.0,passive,parent_pool,1695,del_object,test,existing_train_val_minocc100
present_operation,type,27530,0.9503918251803777,27659,0.9548451686401768,passive,parent_pool,28967,addition,test,existing_train_val_minocc100
present_operation,type,1695,1.0,1695,1.0,passive,parent_pool,1695,deletion,test,existing_train_val_minocc100
populated_slot,valueRequiresStatement,29339,1.0,29339,1.0,passive,parent_pool,29339,add_subject,test,existing_train_val_minocc100
populated_slot,valueRequiresStatement,29337,0.9999318313507618,29337,0.9999318313507618,passive,parent_pool,29339,add_predicate,test,existing_train_val_minocc100
populated_slot,valueRequiresStatement,24348,0.8298851358260336,24574,0.8375881931899519,passive,parent_pool,29339,add_object,test,existing_train_val_minocc100
populated_slot,valueRequiresStatement,1305,1.0,1305,1.0,passive,parent_pool,1305,del_subject,test,existing_train_val_minocc100
populated_slot,valueRequiresStatement,1305,1.0,1305,1.0,passive,parent_pool,1305,del_predicate,test,existing_train_val_minocc100
populated_slot,valueRequiresStatement,1305,1.0,1305,1.0,passive,parent_pool,1305,del_object,test,existing_train_val_minocc100
present_operation,valueRequiresStatement,24346,0.8298169671767954,24572,0.8375200245407137,passive,parent_pool,29339,addition,test,existing_train_val_minocc100
present_operation,valueRequiresStatement,1305,1.0,1305,1.0,passive,parent_pool,1305,deletion,test,existing_train_val_minocc100
populated_slot,valueType,29724,1.0,29724,1.0,passive,parent_pool,29724,add_subject,test,existing_train_val_minocc100
populated_slot,valueType,29720,0.9998654286098776,29721,0.9998990714574082,passive,parent_pool,29724,add_predicate,test,existing_train_val_minocc100
populated_slot,valueType,28520,0.9594940115731395,28648,0.9638002960570583,passive,parent_pool,29724,add_object,test,existing_train_val_minocc100
populated_slot,valueType,775,1.0,775,1.0,passive,parent_pool,775,del_subject,test,existing_train_val_minocc100
populated_slot,valueType,775,1.0,775,1.0,passive,parent_pool,775,del_predicate,test,existing_train_val_minocc100
populated_slot,valueType,775,1.0,775,1.0,passive,parent_pool,775,del_object,test,existing_train_val_minocc100
present_operation,valueType,28516,0.9593594401830171,28645,0.9636993675144664,passive,parent_pool,29724,addition,test,existing_train_val_minocc100
present_operation,valueType,775,1.0,775,1.0,passive,parent_pool,775,deletion,test,existing_train_val_minocc100
populated_slot,conflictWith,24993,1.0,24993,1.0,passive,parent_pool,24993,add_subject,train,existing_train_val_minocc100
populated_slot,conflictWith,24975,0.9992797983435362,24980,0.9994798543592206,passive,parent_pool,24993,add_predicate,train,existing_train_val_minocc100
populated_slot,conflictWith,21642,0.8659224582883207,21931,0.8774856959948786,passive,parent_pool,24993,add_object,train,existing_train_val_minocc100
populated_slot,conflictWith,140857,1.0,140857,1.0,passive,parent_pool,140857,del_subject,train,existing_train_val_minocc100
populated_slot,conflictWith,140857,1.0,140857,1.0,passive,parent_pool,140857,del_predicate,train,existing_train_val_minocc100
populated_slot,conflictWith,135755,0.9637788679298863,135767,0.9638640607140575,passive,parent_pool,140857,del_object,train,existing_train_val_minocc100
present_operation,conflictWith,21624,0.8652022566318569,21918,0.8769655503540992,passive,parent_pool,24993,addition,train,existing_train_val_minocc100
present_operation,conflictWith,135755,0.9637788679298863,135767,0.9638640607140575,passive,parent_pool,140857,deletion,train,existing_train_val_minocc100
populated_slot,distinct,18288,1.0,18288,1.0,passive,parent_pool,18288,add_subject,train,existing_train_val_minocc100
populated_slot,distinct,18288,1.0,18288,1.0,passive,parent_pool,18288,add_predicate,train,existing_train_val_minocc100
populated_slot,distinct,9061,0.4954615048118985,9078,0.49639107611548555,passive,parent_pool,18288,add_object,train,existing_train_val_minocc100
populated_slot,distinct,319486,1.0,319486,1.0,passive,parent_pool,319486,del_subject,train,existing_train_val_minocc100
populated_slot,distinct,319486,1.0,319486,1.0,passive,parent_pool,319486,del_predicate,train,existing_train_val_minocc100
populated_slot,distinct,319486,1.0,319486,1.0,passive,parent_pool,319486,del_object,train,existing_train_val_minocc100
present_operation,distinct,9061,0.4954615048118985,9078,0.49639107611548555,passive,parent_pool,18288,addition,train,existing_train_val_minocc100
present_operation,distinct,319486,1.0,319486,1.0,passive,parent_pool,319486,deletion,train,existing_train_val_minocc100
populated_slot,inverse,90340,1.0,90340,1.0,passive,parent_pool,90340,add_subject,train,existing_train_val_minocc100
populated_slot,inverse,90331,0.9999003763559885,90337,0.9999667921186628,passive,parent_pool,90340,add_predicate,train,existing_train_val_minocc100
populated_slot,inverse,88180,0.9760903254372371,88373,0.9782266991365951,passive,parent_pool,90340,add_object,train,existing_train_val_minocc100
populated_slot,inverse,10966,1.0,10966,1.0,passive,parent_pool,10966,del_subject,train,existing_train_val_minocc100
populated_slot,inverse,10966,1.0,10966,1.0,passive,parent_pool,10966,del_predicate,train,existing_train_val_minocc100
populated_slot,inverse,10966,1.0,10966,1.0,passive,parent_pool,10966,del_object,train,existing_train_val_minocc100
present_operation,inverse,88171,0.9759907017932256,88370,0.9781934912552579,passive,parent_pool,90340,addition,train,existing_train_val_minocc100
present_operation,inverse,10966,1.0,10966,1.0,passive,parent_pool,10966,deletion,train,existing_train_val_minocc100
populated_slot,itemRequiresStatement,137639,1.0,137639,1.0,passive,parent_pool,137639,add_subject,train,existing_train_val_minocc100
populated_slot,itemRequiresStatement,137617,0.9998401615821098,137634,0.9999636730868431,passive,parent_pool,137639,add_predicate,train,existing_train_val_minocc100
populated_slot,itemRequiresStatement,74206,0.5391349835439083,77108,0.5602191239401623,passive,parent_pool,137639,add_object,train,existing_train_val_minocc100
populated_slot,itemRequiresStatement,3157,1.0,3157,1.0,passive,parent_pool,3157,del_subject,train,existing_train_val_minocc100
populated_slot,itemRequiresStatement,3157,1.0,3157,1.0,passive,parent_pool,3157,del_predicate,train,existing_train_val_minocc100
populated_slot,itemRequiresStatement,3157,1.0,3157,1.0,passive,parent_pool,3157,del_object,train,existing_train_val_minocc100
present_operation,itemRequiresStatement,74197,0.539069595100226,77103,0.5601827970270055,passive,parent_pool,137639,addition,train,existing_train_val_minocc100
present_operation,itemRequiresStatement,3157,1.0,3157,1.0,passive,parent_pool,3157,deletion,train,existing_train_val_minocc100
populated_slot,oneOf,7101,1.0,7101,1.0,passive,parent_pool,7101,add_subject,train,existing_train_val_minocc100
populated_slot,oneOf,7100,0.9998591747641177,7100,0.9998591747641177,passive,parent_pool,7101,add_predicate,train,existing_train_val_minocc100
populated_slot,oneOf,6993,0.9847908745247148,7036,0.9908463596676524,passive,parent_pool,7101,add_object,train,existing_train_val_minocc100
populated_slot,oneOf,9596,1.0,9596,1.0,passive,parent_pool,9596,del_subject,train,existing_train_val_minocc100
populated_slot,oneOf,9596,1.0,9596,1.0,passive,parent_pool,9596,del_predicate,train,existing_train_val_minocc100
populated_slot,oneOf,9596,1.0,9596,1.0,passive,parent_pool,9596,del_object,train,existing_train_val_minocc100
present_operation,oneOf,6992,0.9846500492888326,7035,0.9907055344317701,passive,parent_pool,7101,addition,train,existing_train_val_minocc100
present_operation,oneOf,9596,1.0,9596,1.0,passive,parent_pool,9596,deletion,train,existing_train_val_minocc100
